kw_join,kw_exists,kw_in,kw_group by,kw_order by,kw_limit,kw_where,kw_select,kw_count(,kw_sum(,kw_avg(,kw_min(,kw_max(,kw_distinct,kw_subquery,num_parens,num_equals,num_and,num_or,len_chars,plan_uses_index,plan_temp_btree,plan_scan,plan_search,pair_id,variant,tag,latency_ms
0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,112,1,0,1,0,0,A,orderby_variant,0.379
0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,110,0,0,1,0,0,B,orderby_variant,0.067
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,59,0,0,0,1,1,A,count_star_vs_one,0.033
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,59,0,0,0,1,1,B,count_star_vs_one,0.032
0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,2,1,0,132,0,0,1,1,2,A,in_vs_exists,9.819
0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,3,2,0,144,1,0,0,2,2,B,in_vs_exists,2.783
0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,2,1,0,132,0,0,1,1,3,A,in_vs_exists,9.573
0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,3,2,0,144,1,0,0,2,3,B,in_vs_exists,2.705
0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,2,1,0,132,0,0,1,1,4,A,in_vs_exists,9.627
0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,3,2,0,144,1,0,0,2,4,B,in_vs_exists,2.784
1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,0,143,1,0,0,2,5,A,join_vs_subquery,7.576
0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,4,1,0,223,0,0,1,2,5,B,join_vs_subquery,14.994
0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,2,1,0,132,0,0,1,1,6,A,in_vs_exists,9.818
0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,3,2,0,144,1,0,0,2,6,B,in_vs_exists,2.93
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,59,0,0,0,1,7,A,count_star_vs_one,0.028
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,59,0,0,0,1,7,B,count_star_vs_one,0.03
1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,0,143,1,0,0,2,8,A,join_vs_subquery,7.784
0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,4,1,0,223,0,0,1,2,8,B,join_vs_subquery,15.175
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,59,0,0,0,1,9,A,count_star_vs_one,0.027
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,59,0,0,0,1,9,B,count_star_vs_one,0.027
0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,2,1,0,132,0,0,1,1,10,A,in_vs_exists,9.745
0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,3,2,0,144,1,0,0,2,10,B,in_vs_exists,2.742
0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,2,1,0,132,0,0,1,1,11,A,in_vs_exists,9.717
