diff_kw_join,diff_kw_exists,diff_kw_in,diff_kw_group by,diff_kw_order by,diff_kw_limit,diff_kw_where,diff_kw_select,diff_kw_count(,diff_kw_sum(,diff_kw_avg(,diff_kw_min(,diff_kw_max(,diff_kw_distinct,diff_kw_subquery,diff_num_parens,diff_num_equals,diff_num_and,diff_num_or,diff_len_chars,diff_plan_uses_index,diff_plan_temp_btree,diff_plan_scan,diff_plan_search,pair_id,label_A_is_faster
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-12,-1,0,1,-1,2,0
0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-12,-1,0,1,-1,3,0
0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-12,-1,0,1,-1,4,0
1,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,-2,-1,0,0,-80,1,0,-1,0,5,1
0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-12,-1,0,1,-1,6,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
1,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,-2,-1,0,0,-80,1,0,-1,0,8,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-12,-1,0,1,-1,10,0
0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-12,-1,0,1,-1,11,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
1,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,-2,-1,0,0,-80,1,0,-1,0,13,1
1,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,-2,-1,0,0,-80,1,0,-1,0,14,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-12,-1,0,1,-1,16,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,17,0
1,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,-2,-1,0,0,-80,1,0,-1,0,18,1
